"outcome","account","r2_holdout","beta","seed"
"gpa","ols",0.1173433619787,"0.146805422429259",45
"grit","logit",NA,NA,45
"grit","ols",0.017334239518592,"0.0293027682489644",45
"jobTraining","logit",0.0509856194369385,NA,45
"jobTraining","ols",0.0534916507981817,NA,45
"layoff","logit",0.00572313318053663,NA,45
"layoff","ols",-0.0049198254350189,NA,45
"materialHardship","logit",NA,NA,45
"materialHardship","ols",0.174991399623237,"0.361556546121631",45
"eviction","logit",0.0126428851595307,NA,46
"eviction","ols",0.018782829243737,NA,46
"gpa","logit",NA,NA,46
"gpa","ols",0.117651720994755,"0.186051448435203",46
"grit","logit",NA,NA,46
"grit","ols",0.00890729606014795,"0.00732379436058057",46
"jobTraining","logit",0.0485566526845369,NA,46
"jobTraining","ols",0.0486521185124975,NA,46
"layoff","logit",0.00629601293892723,NA,46
"layoff","ols",0.0093677297309237,NA,46
"materialHardship","logit",NA,NA,46
"materialHardship","ols",0.166903738101471,"0.377216317091099",46
"eviction","logit",0.0143628723639072,NA,47
"eviction","ols",0.0176925737692449,NA,47
"gpa","logit",NA,NA,47
"gpa","ols",0.112320830852278,"0.216238583578603",47
"grit","logit",NA,NA,47
"grit","ols",0.00509878469226466,"0.0131814408501012",47
"jobTraining","logit",0.0491749011543293,NA,47
"jobTraining","ols",0.0503896790575552,NA,47
"layoff","logit",0.00753402446582208,NA,47
"layoff","ols",0.00180309407438539,NA,47
"materialHardship","logit",NA,NA,47
"materialHardship","ols",0.182916307769572,"0.329386406831705",47
"eviction","logit",0.0143770145252533,NA,48
"eviction","ols",0.0226011005400147,NA,48
"gpa","logit",NA,NA,48
"gpa","ols",0.0910738455715973,"0.200617841468396",48
"grit","logit",NA,NA,48
"grit","ols",0.0142845365031578,"0.0125260355866441",48
"jobTraining","logit",0.0483409383259689,NA,48
"jobTraining","ols",0.0518665093848142,NA,48
"layoff","logit",0.00978586351047439,NA,48
"layoff","ols",0.00768639011675643,NA,48
"materialHardship","logit",NA,NA,48
"materialHardship","ols",0.175834794300603,"0.36274344862063",48
"eviction","logit",0.0143083086502179,NA,49
"eviction","ols",0.0217115402595224,NA,49
"gpa","logit",NA,NA,49
"gpa","ols",0.100745326612727,"0.214405479630505",49
"grit","logit",NA,NA,49
"grit","ols",0.00903968003006062,"0.00871337159549888",49
"jobTraining","logit",0.0488096746419941,NA,49
"jobTraining","ols",0.0412837954164346,NA,49
"layoff","logit",0.00771241584974336,NA,49
"layoff","ols",0.00352636978021548,NA,49
"materialHardship","logit",NA,NA,49
"materialHardship","ols",0.179381526052986,"0.347064336345888",49
"eviction","logit",0.0142944912944454,NA,50
"eviction","ols",0.00985797592334725,NA,50
"gpa","logit",NA,NA,50
"gpa","ols",0.0819458953848202,"0.211979291746119",50
"grit","logit",NA,NA,50
"grit","ols",0.0161142403385512,"0.055882147376056",50
"jobTraining","logit",0.0504512698157333,NA,50
"jobTraining","ols",0.0487490924269103,NA,50
"layoff","logit",0.00901067868754213,NA,50
"layoff","ols",-0.00645392364050124,NA,50
"materialHardship","logit",NA,NA,50
"materialHardship","ols",0.171285785529569,"0.362483148161027",50
"eviction","logit",0.0130786752506539,NA,51
"eviction","ols",0.015861934742056,NA,51
"gpa","logit",NA,NA,51
"gpa","ols",0.10754393654866,"0.20528472923088",51
"grit","logit",NA,NA,51
"grit","ols",0.0113875635918241,"0.0552796124720666",51
"jobTraining","logit",0.0520371129934916,NA,51
"jobTraining","ols",0.0526727414008707,NA,51
"layoff","logit",0.00731630220261092,NA,51
"layoff","ols",0.00858036496508308,NA,51
"materialHardship","logit",NA,NA,51
"materialHardship","ols",0.183181363604134,"0.343446890078186",51
"eviction","logit",0.0143072913501957,NA,52
"eviction","ols",0.0227349478506047,NA,52
"gpa","logit",NA,NA,52
"gpa","ols",0.115257295375509,"0.151616011991146",52
"grit","logit",NA,NA,52
"grit","ols",0.0136919981987585,"0.0405868505503017",52
"jobTraining","logit",0.0514430794571713,NA,52
"jobTraining","ols",0.0527888966382017,NA,52
