outcome,account,r2_holdout,beta,seed
eviction,ols,0.022448454367233972,NA,36
gpa,logit,NA,NA,36
gpa,ols,0.1237463735708848,0.205717235512091,36
grit,logit,NA,NA,36
grit,ols,0.012037361343281483,0.00435130597441348,36
jobTraining,logit,NA,NA,36
jobTraining,ols,0.048286459810100935,NA,36
layoff,logit,NA,NA,36
layoff,ols,0.006754747886374757,NA,36
materialHardship,logit,NA,NA,36
materialHardship,ols,0.16235336088006602,0.396038070819827,36
eviction,logit,NA,NA,37
eviction,ols,0.01796668500726839,NA,37
gpa,logit,NA,NA,37
gpa,ols,0.09728496708389756,0.200413837631654,37
grit,logit,NA,NA,37
grit,ols,0.01308929599137132,0.0438205356835737,37
jobTraining,logit,NA,NA,37
jobTraining,ols,0.05115739212804138,NA,37
layoff,logit,NA,NA,37
layoff,ols,0.005138637948379987,NA,37
materialHardship,logit,NA,NA,37
materialHardship,ols,0.18331079958570629,0.389723629256964,37
eviction,logit,NA,NA,38
eviction,ols,0.02408974332116376,NA,38
gpa,logit,NA,NA,38
gpa,ols,0.11048763448637455,0.178344177522401,38
grit,logit,NA,NA,38
grit,ols,0.015555419631348766,0.0393762122833664,38
jobTraining,logit,NA,NA,38
jobTraining,ols,0.04676976670061772,NA,38
layoff,logit,NA,NA,38
layoff,ols,0.01013048109973258,NA,38
materialHardship,logit,NA,NA,38
materialHardship,ols,0.1707486752263252,0.335741920025194,38
eviction,logit,NA,NA,39
eviction,ols,0.014900155054280884,NA,39
gpa,logit,NA,NA,39
gpa,ols,0.11607892080632753,0.193460466577618,39
grit,logit,NA,NA,39
grit,ols,0.010718639452230394,0.0162225770360722,39
jobTraining,logit,NA,NA,39
jobTraining,ols,0.05162199151903202,NA,39
layoff,logit,NA,NA,39
layoff,ols,-0.0017616176574559717,NA,39
materialHardship,logit,NA,NA,39
materialHardship,ols,0.17032061955678413,0.361203309240133,39
eviction,logit,NA,NA,40
eviction,ols,0.023279598870973972,NA,40
gpa,logit,NA,NA,40
gpa,ols,0.12185034962704855,0.191629115109261,40
grit,logit,NA,NA,40
grit,ols,0.012352430044816454,0.00891588177880143,40
jobTraining,logit,NA,NA,40
jobTraining,ols,0.05400019950570545,NA,40
layoff,logit,NA,NA,40
layoff,ols,0.004709603100289561,NA,40
materialHardship,logit,NA,NA,40
materialHardship,ols,0.1760280427640829,0.387196380895765,40
eviction,logit,NA,NA,41
eviction,ols,0.01823315534612402,NA,41
gpa,logit,NA,NA,41
gpa,ols,0.11481017780242242,0.17634910353231,41
grit,logit,NA,NA,41
grit,ols,0.015243500081658978,0.0135675574489512,41
jobTraining,logit,NA,NA,41
jobTraining,ols,0.05426559107220674,NA,41
layoff,logit,NA,NA,41
layoff,ols,0.008443154170767353,NA,41
materialHardship,logit,NA,NA,41
materialHardship,ols,0.17624436345763972,0.387527060282527,41
eviction,logit,NA,NA,42
eviction,ols,0.022675775532410514,NA,42
gpa,logit,NA,NA,42
gpa,ols,0.11171954822952701,0.23518073810865,42
grit,logit,NA,NA,42
grit,ols,0.018136154952202554,0.0531595843892377,42
jobTraining,logit,NA,NA,42
jobTraining,ols,0.05281257386396876,NA,42
layoff,logit,NA,NA,42
layoff,ols,0.010523257472586867,NA,42
materialHardship,logit,NA,NA,42
materialHardship,ols,0.17923191930314664,0.346064590085746,42
eviction,logit,NA,NA,43
eviction,ols,0.024783274178702408,NA,43
gpa,logit,NA,NA,43
gpa,ols,0.11674879464592847,0.203979063439695,43
grit,logit,NA,NA,43
grit,ols,0.00533346127495693,0.022493275433298,43
jobTraining,logit,NA,NA,43
jobTraining,ols,0.04533096304018569,NA,43
layoff,logit,NA,NA,43
layoff,ols,0.009496739369829976,NA,43
materialHardship,logit,NA,NA,43
materialHardship,ols,0.1778336624900363,0.385650553906766,43
eviction,logit,NA,NA,44
eviction,ols,0.020006167112314732,NA,44
gpa,logit,NA,NA,44
gpa,ols,0.10440308688536393,0.196336169477436,44
grit,logit,NA,NA,44
grit,ols,0.008637454712993486,0.0427456096702995,44
jobTraining,logit,NA,NA,44
jobTraining,ols,0.04678360668561643,NA,44
layoff,logit,NA,NA,44
layoff,ols,0.005318241648273325,NA,44
materialHardship,logit,NA,NA,44
materialHardship,ols,0.18110169484066196,0.345484769625431,44
eviction,logit,NA,NA,45
eviction,ols,0.02064799693619568,NA,45
gpa,logit,NA,NA,45
gpa,ols,0.11734336197870021,0.146805422429259,45
grit,logit,NA,NA,45
grit,ols,0.01733423951859203,0.0293027682489644,45
jobTraining,logit,NA,NA,45
jobTraining,ols,0.053491650798181745,NA,45
layoff,logit,NA,NA,45
layoff,ols,-0.004919825435018899,NA,45
materialHardship,logit,NA,NA,45
materialHardship,ols,0.17499139962323695,0.361556546121631,45
eviction,logit,NA,NA,46
eviction,ols,0.018782829243736976,NA,46
gpa,logit,NA,NA,46
gpa,ols,0.11765172099475474,0.186051448435203,46
grit,logit,NA,NA,46
grit,ols,0.008907296060147951,0.00732379436058057,46
jobTraining,logit,NA,NA,46
jobTraining,ols,0.04865211851249751,NA,46
layoff,logit,NA,NA,46
layoff,ols,0.009367729730923702,NA,46
materialHardship,logit,NA,NA,46
materialHardship,ols,0.16690373810147108,0.377216317091099,46
eviction,logit,NA,NA,47
eviction,ols,0.017692573769244935,NA,47
gpa,logit,NA,NA,47
gpa,ols,0.11232083085227806,0.216238583578603,47
grit,logit,NA,NA,47
grit,ols,0.005098784692264657,0.0131814408501012,47
jobTraining,logit,NA,NA,47
jobTraining,ols,0.0503896790575552,NA,47
layoff,logit,NA,NA,47
layoff,ols,0.0018030940743853918,NA,47
materialHardship,logit,NA,NA,47
materialHardship,ols,0.18291630776957157,0.329386406831705,47
eviction,logit,NA,NA,48
eviction,ols,0.02260110054001474,NA,48
gpa,logit,NA,NA,48
gpa,ols,0.09107384557159726,0.200617841468396,48
grit,logit,NA,NA,48
grit,ols,0.014284536503157752,0.0125260355866441,48
jobTraining,logit,NA,NA,48
jobTraining,ols,0.051866509384814186,NA,48
layoff,logit,NA,NA,48
layoff,ols,0.007686390116756425,NA,48
materialHardship,logit,NA,NA,48
materialHardship,ols,0.17583479430060345,0.36274344862063,48
eviction,logit,NA,NA,49
eviction,ols,0.021711540259522377,NA,49
gpa,logit,NA,NA,49
gpa,ols,0.10074532661272706,0.214405479630505,49
grit,logit,NA,NA,49
grit,ols,0.009039680030060615,0.00871337159549888,49
jobTraining,logit,NA,NA,49
jobTraining,ols,0.041283795416434566,NA,49
layoff,logit,NA,NA,49
layoff,ols,0.003526369780215477,NA,49
materialHardship,logit,NA,NA,49
materialHardship,ols,0.17938152605298596,0.347064336345888,49
eviction,logit,NA,NA,50
eviction,ols,0.00985797592334725,NA,50
gpa,logit,NA,NA,50
gpa,ols,0.08194589538482022,0.211979291746119,50
grit,logit,NA,NA,50
grit,ols,0.016114240338551244,0.055882147376056,50
jobTraining,logit,NA,NA,50
jobTraining,ols,0.04874909242691028,NA,50
layoff,logit,NA,NA,50
layoff,ols,-0.006453923640501236,NA,50
materialHardship,logit,NA,NA,50
materialHardship,ols,0.1712857855295693,0.362483148161027,50
eviction,logit,NA,NA,51
eviction,ols,0.015861934742055994,NA,51
gpa,logit,NA,NA,51
gpa,ols,0.10754393654866035,0.20528472923088,51
grit,logit,NA,NA,51
grit,ols,0.011387563591824135,0.0552796124720666,51
jobTraining,logit,NA,NA,51
jobTraining,ols,0.05267274140087075,NA,51
layoff,logit,NA,NA,51
layoff,ols,0.008580364965083076,NA,51
materialHardship,logit,NA,NA,51
materialHardship,ols,0.18318136360413417,0.343446890078186,51
eviction,logit,NA,NA,52
eviction,ols,0.022734947850604703,NA,52
gpa,logit,NA,NA,52
gpa,ols,0.11525729537550922,0.151616011991146,52
grit,logit,NA,NA,52
grit,ols,0.013691998198758548,0.0405868505503017,52
jobTraining,logit,NA,NA,52
jobTraining,ols,0.05278889663820174,NA,52
layoff,logit,NA,NA,52
layoff,ols,0.007103447948751285,NA,52
materialHardship,logit,NA,NA,52
materialHardship,ols,0.18377721981971695,0.392869459605169,52
eviction,logit,NA,NA,53
eviction,ols,0.024032827618650998,NA,53
gpa,logit,NA,NA,53
gpa,ols,0.08368611328917719,0.207150926407599,53
grit,logit,NA,NA,53
grit,ols,0.01007294703179451,0.0298949566540501,53
jobTraining,logit,NA,NA,53
jobTraining,ols,0.04872601357733264,NA,53
layoff,logit,NA,NA,53
layoff,ols,-0.0019327842723300126,NA,53
materialHardship,logit,NA,NA,53
materialHardship,ols,0.17563378461847245,0.333393925812808,53
eviction,logit,NA,NA,54
eviction,ols,0.018956917570834175,NA,54
gpa,logit,NA,NA,54
gpa,ols,0.10869816046043046,0.191279964519324,54
grit,logit,NA,NA,54
grit,ols,0.009282920119541793,0.0350744329400693,54
jobTraining,logit,NA,NA,54
jobTraining,ols,0.04696407669750413,NA,54
layoff,logit,NA,NA,54
layoff,ols,0.0033479276471559682,NA,54
materialHardship,logit,NA,NA,54
materialHardship,ols,0.17862731882293492,0.367673638269849,54
eviction,logit,NA,NA,55
eviction,ols,0.021198255077805817,NA,55
gpa,logit,NA,NA,55
gpa,ols,0.1161722791603379,0.178751115000632,55
grit,logit,NA,NA,55
grit,ols,0.016304331884477885,0.0409016995811711,55
jobTraining,logit,NA,NA,55
jobTraining,ols,0.05074341680800676,NA,55
layoff,logit,NA,NA,55
layoff,ols,0.007596433865099561,NA,55
